Date,Open,High,Low,Close,Volume,Market Cap
"Feb 07, 2016",376.51,380.87,374.9,376.62,37076300,5714760000
"Feb 06, 2016",386.59,386.63,372.39,376.52,49249300,5865740000
"Feb 05, 2016",388.9,391.09,385.57,386.55,43825000,5898960000
"Feb 04, 2016",370.17,391.61,369.99,389.59,69285500,5613380000
"Feb 03, 2016",374.65,374.95,368.05,369.95,45933400,5679530000
"Feb 02, 2016",372.92,375.88,372.92,374.45,40378700,5651690000
"Feb 01, 2016",369.35,378.07,367.96,373.06,51656700,5596090000
"Jan 31, 2016",378.29,380.35,367.83,368.77,37894300,5729870000
"Jan 30, 2016",378.87,380.92,376.49,378.25,30284400,5736760000
"Jan 29, 2016",380.11,384.38,365.45,379.47,86125300,5753970000
"Jan 28, 2016",395.15,395.5,379.74,380.29,59247900,5980180000
"Jan 27, 2016",392.44,396.84,391.78,394.97,47424400,5937780000
"Jan 26, 2016",392,397.77,390.57,392.15,58147000,5929520000
"Jan 25, 2016",402.32,402.32,388.55,391.73,59062400,6083900000
"Jan 24, 2016",388.1,405.49,387.51,402.97,54824800,5867300000
"Jan 23, 2016",382.43,394.54,381.98,387.49,56247400,5779890000
"Jan 22, 2016",409.75,410.41,375.28,382.49,91546600,6190940000
"Jan 21, 2016",419.63,422.88,406.3,410.26,68338000,6338800000
"Jan 20, 2016",379.74,425.27,376.6,420.23,121720000,5734760000
"Jan 19, 2016",387.03,387.73,378.97,380.15,46819800,5843510000
"Jan 18, 2016",381.73,388.1,376.67,387.17,54403900,5761940000
"Jan 17, 2016",387.15,390.96,380.09,382.3,45319600,5842270000
"Jan 16, 2016",365.07,390.56,354.91,387.54,120352000,5507790000
"Jan 15, 2016",430.25,430.25,364.33,364.33,153351000,6489870000
"Jan 14, 2016",432.29,433.32,427.85,430.31,43945500,6519110000
"Jan 13, 2016",434.67,435.19,424.44,432.37,173888000,6553350000
"Jan 12, 2016",448.18,448.18,435.69,435.69,115607000,6755220000
"Jan 11, 2016",448.7,450.66,443.86,448.43,40450000,6761090000
"Jan 10, 2016",448.24,448.31,440.35,447.99,35995900,6752210000
"Jan 09, 2016",453.38,454.64,446.89,447.61,32278000,6828000000
"Jan 08, 2016",457.54,462.93,447.94,453.23,56993000,6888600000
"Jan 07, 2016",430.01,458.77,429.08,458.05,87562200,6472580000
"Jan 06, 2016",431.86,431.86,426.34,429.11,34042500,6498830000
"Jan 05, 2016",433.07,434.18,429.68,431.96,34522600,6515380000
"Jan 04, 2016",430.06,434.52,429.08,433.09,38477500,6468180000
